# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.77999 -3.23023 0.131491 0.0759161 2.7826e-08
-3.77999 -3.23023 -0.131491 0.0759161 2.71656e-08
-3.77999 -3.23023 0 0.151832 4.91672e-08
-3.77999 -3.23023 0 -0.151832 -2.02776e-08
-3.77999 -3.23023 0.131491 -0.0759161 -2.00242e-08
-3.77999 -3.23023 -0.131491 -0.0759161 -2.06844e-08
-3.77999 -2.88102 0.131491 0.0759161 1.97433e-08
-3.77999 -2.88102 -0.131491 0.0759161 1.90829e-08
-3.77999 -2.88102 0 -0.151832 -4.91672e-08
-3.77999 -2.88102 0 0.151832 3.6673e-08
-3.77999 -2.88102 0.131491 -0.0759161 -2.13412e-08
-3.77999 -2.88102 -0.131491 -0.0759161 -2.20016e-08
-3.77999 0.261911 0.131491 -0.0759161 2.05303e-08
-3.77999 0.261911 0 0.151832 -4.91678e-08
-3.77999 0.261911 -0.131491 -0.0759161 1.987e-08
-3.77999 0.261911 0.131491 0.0759161 -2.73197e-08
-3.77999 0.261911 0 -0.151832 2.0277e-08
-3.77999 0.261911 -0.131491 0.0759161 -2.798e-08
-3.47757 -2.70641 0.131491 0.0759161 1.19447e-08
-3.47757 -2.70641 -0.131491 0.0759161 1.69297e-08
-3.47757 -2.70641 0 0.151832 3.27334e-08
-3.47757 -2.70641 0 -0.151832 -4.10846e-08
-3.47757 -2.70641 0.131491 -0.0759161 -2.47285e-08
-3.47757 -2.70641 -0.131491 -0.0759161 -1.97433e-08
-3.47757 -1.30955 0 0.151832 2.97793e-08
-3.47757 -1.30955 0.131491 -0.0759161 -1.86151e-08
-3.47757 -1.30955 0.131491 0.0759161 8.99034e-09
-3.47757 -1.30955 -0.131491 -0.0759161 -1.36299e-08
-3.47757 -1.30955 -0.131491 0.0759161 1.39755e-08
-3.47757 -1.30955 0 -0.151832 -2.61604e-08
-3.17514 -3.23023 0.131491 0.0759161 2.6643e-08
-3.17514 -3.23023 -0.131491 0.0759161 3.28113e-08
-3.17514 -3.23023 0 0.151832 4.91674e-08
-3.17514 -3.23023 0 -0.151832 -2.02774e-08
-3.17514 -3.23023 0.131491 -0.0759161 -2.12071e-08
-3.17514 -3.23023 -0.131491 -0.0759161 -1.50389e-08
