# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77999 -3.23023 0.131491 0.0759161 0.160862
-3.77999 -3.23023 -0.131491 0.0759161 0.160862
-3.77999 -3.23023 0 0.151832 0.152412
-3.77999 -3.23023 0 -0.151832 0.152411
-3.77999 -3.23023 0.131491 -0.0759161 0.160862
-3.77999 -3.23023 -0.131491 -0.0759161 0.160862
-3.77999 -2.88102 0.131491 0.0759161 0.160862
-3.77999 -2.88102 -0.131491 0.0759161 0.160862
-3.77999 -2.88102 0 -0.151832 0.152411
-3.77999 -2.88102 0 0.151832 0.152412
-3.77999 -2.88102 0.131491 -0.0759161 0.160862
-3.77999 -2.88102 -0.131491 -0.0759161 0.160862
-3.77999 0.261911 0.131491 -0.0759161 0.160862
-3.77999 0.261911 0 0.151832 0.152411
-3.77999 0.261911 -0.131491 -0.0759161 0.160862
-3.77999 0.261911 0.131491 0.0759161 0.160862
-3.77999 0.261911 0 -0.151832 0.152412
-3.77999 0.261911 -0.131491 0.0759161 0.160862
-3.47757 -2.70641 0.131491 0.0759161 0.160862
-3.47757 -2.70641 -0.131491 0.0759161 0.160862
-3.47757 -2.70641 0 0.151832 0.152411
-3.47757 -2.70641 0 -0.151832 0.152411
-3.47757 -2.70641 0.131491 -0.0759161 0.160862
-3.47757 -2.70641 -0.131491 -0.0759161 0.160862
-3.47757 -1.30955 0 0.151832 0.152411
-3.47757 -1.30955 0.131491 -0.0759161 0.160862
-3.47757 -1.30955 0.131491 0.0759161 0.160862
-3.47757 -1.30955 -0.131491 -0.0759161 0.160862
-3.47757 -1.30955 -0.131491 0.0759161 0.160862
-3.47757 -1.30955 0 -0.151832 0.152411
-3.17514 -3.23023 0.131491 0.0759161 0.160862
-3.17514 -3.23023 -0.131491 0.0759161 0.160862
-3.17514 -3.23023 0 0.151832 0.152412
-3.17514 -3.23023 0 -0.151832 0.152411
-3.17514 -3.23023 0.131491 -0.0759161 0.160862
-3.17514 -3.23023 -0.131491 -0.0759161 0.160862
-3.17514 -0.785732 0 0.151832 0.152412
-3.17514 -0.785732 0.131491 -0.0759161 0.160862
-3.17514 -0.785732 0.131491 0.0759161 0.160862
-3.17514 -0.785732 -0.131491 -0.0759161 0.160862
-3.17514 -0.785732 -0.131491 0.0759161 0.160862
-3.17514 -0.785732 0 -0.151832 0.152411
-3.17514 -0.436518 0 0.151832 0.152412
-3.17514 -0.436518 0.131491 -0.0759161 0.160862
-3.17514 -0.436518 0.131491 0.0759161 0.160862
-3.17514 -0.436518 -0.131491 -0.0759161 0.160862
-3.17514 -0.436518 -0.131491 0.0759161 0.160862
-3.17514 -0.436518 0 -0.151832 0.152411
-3.17514 0.960339 0.131491 -0.0759161 0.160862
-3.17514 0.960339 0 0.151832 0.152411
-3.17514 0.960339 0.131491 0.0759161 0.160862
-3.17514 0.960339 -0.131491 -0.0759161 0.160862
-3.17514 0.960339 0 -0.151832 0.152412
-3.17514 0.960339 -0.131491 0.0759161 0.160862
-2.87271 -3.05562 0.131491 0.0759161 0.160862
-2.87271 -3.05562 -0.131491 0.0759161 0.160862
-2.87271 -3.05562 0 -0.151832 0.152411
-2.87271 -3.05562 0 0.151832 0.152412
-2.87271 -3.05562 -0.131491 -0.0759161 0.160862
-2.87271 -3.05562 0.131491 -0.0759161 0.160862
-2.57028 0.960339 0.131491 -0.0759161 0.160862
-2.57028 0.960339 0 0.151832 0.152411
-2.57028 0.960339 0.131491 0.0759161 0.160862
-2.57028 0.960339 -0.131491 -0.0759161 0.160862
-2.57028 0.960339 0 -0.151832 0.152412
-2.57028 0.960339 -0.131491 0.0759161 0.160862
-2.57028 3.05562 0.131491 0.0759161 0.160862
-2.57028 3.05562 0 -0.151832 0.152412
-2.57028 3.05562 0.131491 -0.0759161 0.160862
-2.57028 3.05562 -0.131491 0.0759161 0.160862
-2.57028 3.05562 -0.131491 -0.0759161 0.160862
-2.57028 3.05562 0 0.151832 0.152411
-1.96542 -2.88102 0.131491 0.0759161 0.160862
-1.96542 -2.88102 -0.131491 0.0759161 0.160862
-1.96542 -2.88102 0 0.151832 0.152412
-1.96542 -2.88102 0 -0.151832 0.152411
-1.96542 -2.88102 0.131491 -0.0759161 0.160862
-1.96542 -2.88102 -0.131491 -0.0759161 0.160862
-1.96542 0.611125 0.131491 -0.0759161 0.160862
-1.96542 0.611125 0 0.151832 0.152411
-1.96542 0.611125 0.131491 0.0759161 0.160862
-1.96542 0.611125 -0.131491 -0.0759161 0.160862
-1.96542 0.611125 9.65411e-17 -0.151832 0.152412
-1.96542 0.611125 -0.131491 0.0759161 0.160862
-1.663 1.83337 9.65411e-17 -0.151832 0.152411
-1.663 1.83337 0.131491 0.0759161 0.160862
-1.663 1.83337 0.131491 -0.0759161 0.160862
-1.663 1.83337 -0.131491 0.0759161 0.160862
-1.663 1.83337 1.93082e-16 0.151832 0.152411
-1.663 1.83337 -0.131491 -0.0759161 0.160862
-1.05814 -0.261911 9.65411e-17 0.151832 0.152412
-1.05814 -0.261911 0.131491 0.0759161 0.160862
-1.05814 -0.261911 -0.131491 -0.0759161 0.160862
-1.05814 -0.261911 0.131491 -0.0759161 0.160862
-1.05814 -0.261911 -0.131491 0.0759161 0.160862
-1.05814 -0.261911 9.65411e-17 -0.151832 0.152411
-0.453283 2.18259 -2.41353e-17 -0.151832 0.152411
-0.453283 2.18259 0.131491 0.0759161 0.160862
-0.453283 2.18259 -0.131491 0.0759161 0.160862
-0.453283 2.18259 0.131491 -0.0759161 0.160862
-0.453283 2.18259 -0.131491 -0.0759161 0.160862
-0.453283 2.18259 4.82706e-17 0.151832 0.152411
-0.150855 1.30955 0.131491 -0.0759161 0.160862
-0.150855 1.30955 -7.24058e-17 -0.151832 0.152411
-0.150855 1.30955 0.131491 0.0759161 0.160862
-0.150855 1.30955 -0.131491 0.0759161 0.160862
-0.150855 1.30955 6.03382e-17 0.151832 0.152411
-0.150855 1.30955 -0.131491 -0.0759161 0.160862
0.151574 -0.611125 -6.03382e-17 0.151832 0.152412
0.151574 -0.611125 -0.131491 0.0759161 0.160862
0.151574 -0.611125 -0.131491 -0.0759161 0.160862
0.151574 -0.611125 0.131491 -0.0759161 0.160862
0.151574 -0.611125 0.131491 0.0759161 0.160862
0.151574 -0.611125 -3.62029e-17 -0.151832 0.152411
0.151574 1.13495 0.131491 -0.0759161 0.160862
0.151574 1.13495 -2.41353e-17 -0.151832 0.152412
0.151574 1.13495 -0.131491 -0.0759161 0.160862
0.151574 1.13495 -7.24058e-17 0.151832 0.152411
0.151574 1.13495 0.131491 0.0759161 0.160862
0.151574 1.13495 -0.131491 0.0759161 0.160862
0.151574 2.18259 0.131491 -0.0759161 0.160862
0.151574 2.18259 1.20676e-17 -0.151832 0.152411
0.151574 2.18259 -7.24058e-17 0.151832 0.152411
0.151574 2.18259 -0.131491 -0.0759161 0.160862
0.151574 2.18259 0.131491 0.0759161 0.160862
0.151574 2.18259 -0.131491 0.0759161 0.160862
0.454002 -0.0873035 0.131491 0.0759161 0.160862
0.454002 -0.0873035 -0.131491 0.0759161 0.160862
0.454002 -0.0873035 -0.131491 -0.0759161 0.160862
0.454002 -0.0873035 0 -0.151832 0.152411
0.454002 -0.0873035 -2.41353e-17 0.151832 0.152412
0.454002 -0.0873035 0.131491 -0.0759161 0.160862
0.454002 2.00798 0.131491 -0.0759161 0.160862
0.454002 2.00798 -0.131491 -0.0759161 0.160862
0.454002 2.00798 7.24058e-17 0.151832 0.152411
0.454002 2.00798 0 -0.151832 0.152411
0.454002 2.00798 0.131491 0.0759161 0.160862
0.454002 2.00798 -0.131491 0.0759161 0.160862
0.454002 2.3572 0.131491 -0.0759161 0.160862
0.454002 2.3572 -0.131491 -0.0759161 0.160862
0.454002 2.3572 -7.24058e-17 -0.151832 0.152411
0.454002 2.3572 2.41353e-17 0.151832 0.152411
0.454002 2.3572 0.131491 0.0759161 0.160862
0.454002 2.3572 -0.131491 0.0759161 0.160862
1.96614 2.88102 -0.131491 -0.0759161 0.160862
1.96614 2.88102 0 -0.151832 0.152412
1.96614 2.88102 0.131491 -0.0759161 0.160862
1.96614 2.88102 9.65411e-17 0.151832 0.152411
1.96614 2.88102 -0.131491 0.0759161 0.160862
1.96614 2.88102 0.131491 0.0759161 0.160862
2.26857 -0.785732 -0.131491 0.0759161 0.160862
2.26857 -0.785732 0 -0.151832 0.152411
2.26857 -0.785732 0.131491 0.0759161 0.160862
2.26857 -0.785732 -0.131491 -0.0759161 0.160862
2.26857 -0.785732 0 0.151832 0.152412
2.26857 -0.785732 0.131491 -0.0759161 0.160862
2.571 -3.05562 -0.131491 -0.0759161 0.160862
2.571 -3.05562 0 0.151832 0.152412
2.571 -3.05562 -0.131491 0.0759161 0.160862
2.571 -3.05562 0.131491 -0.0759161 0.160862
2.571 -3.05562 0 -0.151832 0.152411
2.571 -3.05562 0.131491 0.0759161 0.160862
2.571 -2.3572 -0.131491 -0.0759161 0.160862
2.571 -2.3572 0 0.151832 0.152411
2.571 -2.3572 -0.131491 0.0759161 0.160862
2.571 -2.3572 0.131491 -0.0759161 0.160862
2.571 -2.3572 0 -0.151832 0.152411
2.571 -2.3572 0.131491 0.0759161 0.160862
2.571 0.436518 0 -0.151832 0.152412
2.571 0.436518 -0.131491 0.0759161 0.160862
2.571 0.436518 -0.131491 -0.0759161 0.160862
2.571 0.436518 0.131491 0.0759161 0.160862
2.571 0.436518 0.131491 -0.0759161 0.160862
2.571 0.436518 0 0.151832 0.152411
2.87343 2.00798 -0.131491 -0.0759161 0.160862
2.87343 2.00798 1.93082e-16 0.151832 0.152411
2.87343 2.00798 0 -0.151832 0.152411
2.87343 2.00798 -0.131491 0.0759161 0.160862
2.87343 2.00798 0.131491 -0.0759161 0.160862
2.87343 2.00798 0.131491 0.0759161 0.160862
3.17586 -3.40484 -0.131491 -0.0759161 0.160862
