# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.78006 -3.23023 0.132619 0.0769766 -0.0148373
-3.78006 -3.23023 -0.130565 0.0754927 0.0108106
-3.78006 -3.23023 -2.85125e-05 0.151822 0.00644313
-3.78006 -3.23023 0.00387741 -0.152593 -0.000439219
-3.78006 -3.23023 0.132736 -0.0749165 0.000490445
-3.78006 -3.23023 -0.128615 -0.0775995 0.00548313
-3.78013 -2.88104 0.131575 0.0759372 -0.0226524
-3.78013 -2.88104 -0.12672 0.0782729 0.00222474
-3.78013 -2.88104 0.00579665 0.154108 0.00130744
-3.78013 -2.88104 2.85125e-05 -0.151822 -0.00644313
-3.78013 -2.88104 0.132647 -0.0748452 -0.0213606
-3.78013 -2.88104 -0.130536 -0.0763291 0.00431327
-3.77991 0.262055 0.00424475 0.149877 -0.0102423
-3.77991 0.262055 0.138264 -0.0728988 -0.00821875
-3.77991 0.262055 0.136155 0.0745036 -0.0155225
-3.77991 0.262055 -0.128385 -0.0765438 0.0363732
-3.77991 0.262055 0.00681371 -0.149318 0.0224543
-3.77991 0.262055 -0.131537 0.0759175 0.0215471
-3.4775 -2.70638 0.137048 0.074712 -0.0124015
-3.4775 -2.70638 -0.125778 0.0781711 0.024599
-3.4775 -2.70638 0.00950074 0.151959 -0.000527521
-3.4775 -2.70638 0.00107222 -0.150782 0.00124621
-3.4775 -2.70638 0.132978 -0.0749584 -0.0101209
-3.4775 -2.70638 -0.131575 -0.0759372 0.0226524
-3.47722 -1.30984 0.00588623 0.149489 0.0315895
-3.47722 -1.30984 0.138153 -0.0741928 -0.0393883
-3.47722 -1.30984 0.137345 0.0738941 -0.0320182
-3.47722 -1.30984 -0.124829 -0.081925 0.0146415
-3.47722 -1.30984 -0.127519 0.0742573 0.0496247
-3.47722 -1.30984 0.0109622 -0.152277 -0.0196916
-3.17526 -3.23009 0.131473 0.0758848 -0.0185479
-3.17526 -3.23009 -0.130339 0.0769185 -0.00958418
-3.17526 -3.23009 0.00422289 -0.149824 0.0126383
