# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77979 -3.23022 0.132575 0.0771516 -0.0117412
-3.77979 -3.23022 -0.130599 0.0753796 0.16097
-3.77979 -3.23022 -5.6565e-05 0.151808 0.0916805
-3.77979 -3.23022 0.00426877 -0.152638 0.0620032
-3.77979 -3.23022 0.132944 -0.0746687 -0.00345254
-3.77979 -3.23022 -0.128308 -0.0777894 0.10384
-3.77992 -2.88106 0.131658 0.0759604 0.044237
-3.77992 -2.88106 -0.126423 0.0782893 0.189713
-3.77992 -2.88106 0.00610221 0.154192 0.081052
-3.77992 -2.88106 5.6565e-05 -0.151808 0.13405
-3.77992 -2.88106 0.132632 -0.0746559 0.0819438
-3.77992 -2.88106 -0.130543 -0.0764279 0.18533
-3.77946 0.262207 0.0046103 0.149655 0.07035
-3.77946 0.262207 0.138537 -0.0727627 -0.0171479
-3.77946 0.262207 0.136463 0.0743613 0.0113779
-3.77946 0.262207 -0.128217 -0.0767122 0.172158
-3.77946 0.262207 0.00710872 -0.149337 0.00371117
-3.77946 0.262207 -0.131584 0.0759183 0.172998
-3.47711 -2.70635 0.13727 0.074769 -0.0926646
-3.47711 -2.70635 -0.125555 0.0782318 0.163647
-3.47711 -2.70635 0.00977063 0.152005 -0.010449
-3.47711 -2.70635 0.000974418 -0.150616 0.0099065
-3.47711 -2.70635 0.133049 -0.0748016 -0.0483991
-3.47711 -2.70635 -0.131658 -0.0759604 0.182918
-3.47649 -1.31012 0.00618391 0.149375 0.133664
-3.47649 -1.31012 0.138364 -0.0742173 -0.145415
-3.47649 -1.31012 0.137508 0.0738622 -0.067434
-3.47649 -1.31012 -0.124693 -0.0821596 0.203704
-3.47649 -1.31012 -0.127353 0.0743011 0.242461
-3.47649 -1.31012 0.0113499 -0.152236 -0.0945501
-3.17505 -3.22996 0.131458 0.0758566 -0.0798357
-3.17505 -3.22996 -0.130357 0.0770395 0.0808175
-3.17505 -3.22996 0.00468244 -0.149716 0.0955366
-3.17505 -3.22996 0.00171772 0.152854 -0.0543836
-3.17505 -3.22996 0.136207 -0.0735859 0.0274717
-3.17505 -3.22996 -0.129988 -0.0747808 0.0948928
-3.17426 -0.785984 6.12511e-06 0.15197 0.0121718
-3.17426 -0.785984 0.134965 -0.0757385 -0.169675
-3.17426 -0.785984 0.13332 0.0740126 -0.0530996
-3.17426 -0.785984 -0.125222 -0.0785116 0.138152
-3.17426 -0.785984 -0.128796 0.0768094 0.175376
-3.17426 -0.785984 0.00610245 -0.154025 0.0181027
-3.17424 -0.436453 0.00857036 0.152135 0.119879
-3.17424 -0.436453 0.133314 -0.0779577 -0.000685693
-3.17424 -0.436453 0.136634 0.0714877 6.81216e-05
-3.17424 -0.436453 -0.128802 -0.0751609 0.21734
-3.17424 -0.436453 -0.12515 0.0803093 0.246769
-3.17424 -0.436453 -6.12511e-06 -0.15197 0.138415
-3.17465 0.960206 0.133407 -0.0769987 -0.0744068
-3.17465 0.960206 0.0083248 0.153418 0.0253757
-3.17465 0.960206 0.134307 0.0749784 -0.0830242
-3.17465 0.960206 -0.126798 -0.0782949 0.112954
-3.17465 0.960206 -0.125221 0.0782402 0.103214
-3.17465 0.960206 0.00560519 -0.153611 -0.0457435
-2.8727 -3.05549 -0.129741 0.0769976 0.116506
-2.8727 -3.05549 0.134393 0.0752711 0.025372
-2.8727 -3.05549 0.00497589 0.151289 0.0663365
-2.8727 -3.05549 0.00474881 -0.149443 0.0829556
-2.8727 -3.05549 -0.131458 -0.0758566 0.100623
-2.8727 -3.05549 0.13509 -0.0752177 0.0295228
-2.57002 0.960195 0.133225 -0.0754333 -0.076733
-2.57002 0.960195 0.00683494 0.150354 0.026467
