# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77964 -3.23023 0.138658 0.0814369 -0.405766
-3.77964 -3.23023 -0.124745 0.0717153 0.495952
-3.77964 -3.23023 0 0.151832 0.0793836
-3.77964 -3.23023 0.141 -0.0716301 -0.45368
-3.77964 -3.23023 0.0297121 -0.157408 -0.0469612
-3.77964 -3.23023 -0.109589 -0.0887337 0.389373
-3.77964 -2.88102 0.131491 0.0759161 -0.096599
-3.77964 -2.88102 -0.103679 0.0898539 0.442695
-3.77964 -2.88102 0 -0.151832 0.11864
-3.77964 -2.88102 0.0357105 0.165783 0.0741401
-3.77964 -2.88102 0.138658 -0.0703954 -0.141155
-3.77964 -2.88102 -0.124745 -0.0801169 0.412288
-3.77964 0.261911 0.193543 -0.0571266 -0.172801
-3.77964 0.261911 0.028444 0.139473 -0.338438
-3.77964 0.261911 0.157056 0.0674648 -0.454944
-3.77964 0.261911 -0.107032 -0.0834941 0.771389
-3.77964 0.261911 0.0556706 -0.124059 0.259615
-3.77964 0.261911 -0.131491 0.0759161 0.268067
-3.47721 -2.70641 0.179423 0.0650615 -0.519941
-3.47721 -2.70641 -0.0957801 0.0898667 0.554455
-3.47721 -2.70641 0.00716705 -0.146311 -0.0421837
-3.47721 -2.70641 0.0685526 0.141 -0.193822
-3.47721 -2.70641 0.13946 -0.0707714 -0.506196
-3.47721 -2.70641 -0.131491 -0.0759161 0.577394
-3.47721 -1.30955 0.0617123 0.115367 0.306514
-3.47721 -1.30955 0.184494 -0.0677304 -0.915893
-3.47721 -1.30955 0.189324 0.0672127 -0.453625
-3.47721 -1.30955 -0.107674 0.072931 1.13821
-3.47721 -1.30955 -0.0826421 -0.117047 -0.00304731
-3.47721 -1.30955 0.0725775 -0.140342 -0.921351
-3.17478 -3.23023 0.131491 0.0759161 -0.26552
-3.17478 -3.23023 -0.124324 0.0814369 0.155092
-3.17478 -3.23023 0.0330342 -0.137791 0.341484
-3.17478 -3.23023 0.00796919 0.156977 -0.209644
-3.17478 -3.23023 0.161695 -0.0587092 -0.016902
-3.17478 -3.23023 -0.121981 -0.0716301 0.467389
-3.17478 -0.785732 0 0.151832 0.184321
-3.17478 -0.785732 0.164879 -0.069398 -0.829178
-3.17478 -0.785732 -0.114842 0.076783 0.89744
-3.17478 -0.785732 0.142124 0.0682287 -0.748383
-3.17478 -0.785732 -0.0697783 -0.112381 0.552084
-3.17478 -0.785732 0.057833 -0.160536 -0.29896
-3.17478 -0.436518 0.0662389 0.142931 -0.241526
-3.17478 -0.436518 0.142124 -0.0836036 -0.859598
-3.17478 -0.436518 0.172302 0.0500458 -0.93062
-3.17478 -0.436518 -0.114842 -0.0750493 0.856959
-3.17478 -0.436518 0 -0.151832 -0.0334524
-3.17478 -0.436518 -0.0794 0.107978 0.70572
-3.17478 0.960339 0.142973 -0.0808799 -0.556938
-3.17478 0.960339 0.14646 0.0707539 -0.509419
-3.17478 0.960339 0.0487558 0.161114 0.0173236
-3.17478 0.960339 -0.0996793 -0.0924474 0.496438
-3.17478 0.960339 0.0329842 -0.164512 -0.165732
-3.17478 0.960339 -0.0923778 0.0953068 0.664882
-2.87235 -3.05562 -0.123521 0.0810608 0.115481
-2.87235 -3.05562 0.153676 0.0701853 -0.144671
-2.87235 -3.05562 0.0302048 -0.134625 0.321117
-2.87235 -3.05562 0.0368472 0.143696 -0.102986
-2.87235 -3.05562 0.156528 -0.0752328 0.0377921
-2.87235 -3.05562 -0.131491 -0.0759161 0.346293
-2.56992 0.960339 0.0469728 0.136106 -0.0222011
-2.56992 0.960339 0.143442 -0.0678081 -0.356824
-2.56992 0.960339 0.0293198 -0.150473 -0.10434
-2.56992 0.960339 0.173963 0.0643727 -0.313246
-2.56992 0.960339 -0.120008 -0.0808799 0.386224
-2.56992 0.960339 -0.116521 0.0707539 0.48801
-2.56992 3.05562 0.0618794 -0.132839 -0.0368234
-2.56992 3.05562 0.159439 0.0793814 -0.904245
-2.56992 3.05562 0.177758 -0.0517188 -0.755247
-2.56992 3.05562 -0.0942092 0.100578 0.372235
-2.56992 3.05562 0.0436173 0.155227 -0.533741
-2.56992 3.05562 -0.098456 -0.08414 0.799405
-1.96507 -2.88102 -0.106534 0.0822005 0.601104
-1.96507 -2.88102 0.168391 0.068149 -0.637616
-1.96507 -2.88102 0.161883 -0.0666753 -0.584456
-1.96507 -2.88102 0.0498688 0.142226 -0.194335
-1.96507 -2.88102 -0.110759 -0.0831573 0.65637
-1.96507 -2.88102 0.0417283 -0.142417 -0.116524
-1.96507 0.611125 0.15377 -0.0692209 -0.406318
-1.96507 0.611125 0.041291 0.136641 -0.0586974
-1.96507 0.611125 0.165819 0.0672635 -0.393974
-1.96507 0.611125 0.0337809 -0.150614 -0.129476
-1.96507 0.611125 -0.105459 -0.085551 0.498678
-1.96507 0.611125 -0.119539 0.0840241 0.532139
-1.66264 1.83337 0.153363 0.070415 -0.504722
-1.66264 1.83337 0.0462234 -0.159655 -0.129869
-1.66264 1.83337 0.15135 -0.0716388 -0.513256
-1.66264 1.83337 -0.0839302 0.102025 0.540883
-1.66264 1.83337 0.052927 0.162113 -0.128513
-1.66264 1.83337 -0.19679 0.000943226 0.78652
-1.66264 1.83337 -0.0916076 -0.0990156 0.496141
-1.05778 -0.261911 0.035199 0.151642 -0.108725
-1.05778 -0.261911 0.155697 -0.0702766 -0.619008
-1.05778 -0.261911 -0.10511 0.0870921 0.667659
-1.05778 -0.261911 0.152269 0.0711394 -0.531561
-1.05778 -0.261911 -0.10104 -0.0912725 0.547905
-1.05778 -0.261911 0.0434003 -0.15197 -0.117779
-0.452924 2.18259 0.032359 -0.148591 -0.0623348
-0.452924 2.18259 0.142408 0.0727154 -0.504496
-0.452924 2.18259 0.151097 -0.0817308 -0.440618
-0.452924 2.18259 -0.10767 0.0864234 0.50247
-0.452924 2.18259 -0.112081 -0.0818553 0.567625
-0.452924 2.18259 0.033808 0.157443 -0.0592564
-0.150495 1.30955 0.0348619 -0.165344 -0.0269477
-0.150495 1.30955 0.131491 -0.0759161 -0.345639
-0.150495 1.30955 -0.106569 0.0846899 0.626319
-0.150495 1.30955 0.164891 0.0617525 -0.364729
-0.150495 1.30955 0.0385179 0.143453 0.0584238
-0.150495 1.30955 -0.103692 -0.0894553 0.535108
0.151933 -0.611125 0.0243134 0.143875 0.0443082
0.151933 -0.611125 -0.115466 0.0848067 0.5938
0.151933 -0.611125 0.166856 -0.062809 -0.646483
0.151933 -0.611125 -0.103852 -0.0856196 0.556874
0.151933 -0.611125 0.154428 0.0746225 -0.550096
0.151933 -0.611125 0.0505842 -0.142966 -0.231221
0.151933 1.13495 0.175385 -0.0615789 -0.534192
0.151933 1.13495 -0.0966287 -0.0894274 0.683543
0.151933 1.13495 0.0598598 -0.136508 -0.026952
0.151933 1.13495 0.0334005 0.137669 -0.376785
0.151933 1.13495 0.160952 0.0736462 -0.724014
0.151933 1.13495 -0.131491 0.0759161 0.448426
0.151933 2.18259 0.131491 -0.0759161 -0.0986218
0.151933 2.18259 0.0280652 -0.163738 0.0188477
0.151933 2.18259 0.0223671 0.156195 0.156362
0.151933 2.18259 -0.111884 -0.0817308 0.400844
0.151933 2.18259 0.131491 0.0759161 -0.0152726
0.151933 2.18259 -0.120573 0.0727154 0.456988
0.454361 -0.0873035 -0.107177 -0.0838732 0.715534
0.454361 -0.0873035 0.146336 -0.0675023 -0.734169
0.454361 -0.0873035 -0.0894665 0.0976963 0.542515
0.454361 -0.0873035 0.022937 -0.153126 -0.0721784
0.454361 -0.0873035 0.164628 0.0702749 -0.746501
0.454361 -0.0873035 0.0559897 0.153155 -0.243017
0.454361 2.00798 -0.103425 -0.0878219 0.479438
0.454361 2.00798 0.152821 -0.0740486 -0.32556
0.454361 2.00798 -7.24058e-17 0.151832 -0.0610781
0.454361 2.00798 0.0331121 -0.153769 0.0736544
0.454361 2.00798 0.138409 0.0658995 -0.388177
0.454361 2.00798 -0.131491 0.0759161 0.480734
0.454361 2.3572 0.138409 -0.0859327 -0.561764
0.454361 2.3572 -0.131491 -0.0759161 0.403368
0.454361 2.3572 0.0478393 0.13935 0.202591
0.454361 2.3572 7.24058e-17 -0.151832 -0.183582
0.454361 2.3572 0.161667 0.0522806 -0.355192
0.454361 2.3572 -0.109123 0.080279 0.683413
1.9665 2.88102 0.0375792 -0.152526 -0.337351
1.9665 2.88102 -0.101424 -0.1005 0.354087
1.9665 2.88102 0.160454 -0.0793004 -0.654974
1.9665 2.88102 0.0467912 0.136243 0.135218
