# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.77964 -3.23023 0.144431 0.0931043 -0.0989834
-3.77964 -3.23023 0.145624 -0.0535073 0.156153
-3.77964 -3.23023 0 0.151832 -0.00948652
-3.77964 -3.23023 -0.0919739 -0.14789 -0.0357063
-3.77964 -3.23023 -0.126048 0.00245863 0.124942
-3.77964 -3.23023 0.0457871 -0.146198 0.126617
-3.77964 -2.88102 -0.0346507 0.136151 -0.0437558
-3.77964 -2.88102 0.131491 0.0759161 -0.191254
-3.77964 -2.88102 -0.126048 -0.149374 0.0879611
-3.77964 -2.88102 0.144431 -0.058728 -0.0998553
-3.77964 -2.88102 -0.131899 0.00990677 0.0695461
-3.77964 -2.88102 0 -0.151832 0.00948652
-3.77964 0.261911 0.169157 -0.0338451 -0.0792333
-3.77964 0.261911 0.12471 0.0981247 -0.184174
-3.77964 0.261911 -0.00826071 0.166112 -0.220799
-3.77964 0.261911 -0.117941 -0.0722213 0.264297
-3.77964 0.261911 -0.131491 0.0759161 0.217228
-3.77964 0.261911 0.0513936 -0.126881 0.131813
-3.47721 -2.70641 -0.0372867 0.1347 0.127934
-3.47721 -2.70641 0.116093 0.112175 -0.150341
-3.47721 -2.70641 -0.131491 -0.0759161 0.191254
-3.47721 -2.70641 0.148148 -0.0602366 -0.200546
-3.47721 -2.70641 0.0129408 -0.134644 0.0995801
-3.47721 -2.70641 -0.166141 0.0602348 0.129531
-3.47721 -1.30955 0.00213962 0.147512 0.201068
-3.47721 -1.30955 0.161092 -0.0467209 -0.0545386
-3.47721 -1.30955 0.139051 0.086549 0.0800439
-3.47721 -1.30955 -0.047607 -0.124555 0.0117115
-3.47721 -1.30955 -0.12017 0.0589827 0.218416
-3.17478 -3.23023 -0.11855 0.0931043 -0.0619444
-3.17478 -3.23023 0.0166575 0.167512 -0.326009
-3.17478 -3.23023 0.131491 0.0759161 -0.213817
-3.17478 -3.23023 -0.0475065 -0.181313 -0.0508306
-3.17478 -3.23023 -0.117357 -0.0535073 0.24731
-3.17478 -3.23023 0.0907098 -0.10344 -0.0240548
-3.17478 -0.785732 0 0.151832 0.0253874
-3.17478 -0.785732 0.155018 -0.0347173 -0.164736
-3.17478 -0.785732 0.137266 0.0995296 -0.128422
-3.17478 -0.785732 -0.129351 -0.0802362 0.0829715
-3.17478 -0.785732 -0.115447 0.0863499 0.319875
-3.17478 -0.785732 0.00756071 -0.141199 -0.0277467
-3.17478 -0.436518 0.0479901 0.163854 -0.110666
-3.17478 -0.436518 0.137266 -0.0523026 -0.174474
-3.17478 -0.436518 -0.080937 0.114977 0.0108362
-3.17478 -0.436518 -0.115447 -0.0654824 0.31841
-3.17478 -0.436518 0.164988 0.0840581 -0.144109
-3.17478 -0.436518 0 -0.151832 -0.0253874
-3.17478 0.960339 0.13491 -0.0651853 -0.105336
-3.17478 0.960339 0.142036 0.0883925 -0.138884
-3.17478 0.960339 -0.127223 -0.0616733 -0.0597431
-3.17478 0.960339 -0.0274887 0.128404 0.221534
-3.17478 0.960339 0.00340141 -0.149818 -0.111469
-3.17478 0.960339 -0.159706 0.100215 0.0351015
-2.87235 -3.05562 0.0908106 0.13373 0.102972
-2.87235 -3.05562 -0.114833 0.0915956 -0.152601
-2.87235 -3.05562 0.150182 0.00825408 0.395671
-2.87235 -3.05562 -0.025835 0.198618 0.048351
-2.87235 -3.05562 -0.131491 -0.0759161 0.213817
-2.87235 -3.05562 -0.0407808 -0.179356 0.158507
-2.87235 -3.05562 0.0897705 -0.11707 0.345499
-2.56992 0.960339 0.133033 -0.0666485 0.0326401
-2.56992 0.960339 0.0366312 0.137269 0.0114942
-2.56992 0.960339 0.168748 0.0795132 -0.0114228
-2.56992 0.960339 -0.128071 -0.0651853 -0.0187024
-2.56992 0.960339 0.0163002 -0.151612 0.0630819
-2.56992 0.960339 -0.120945 0.0883925 -0.0676859
-2.56992 3.05562 0.0646907 -0.138609 -0.117065
-2.56992 3.05562 0.117377 0.106111 -0.288135
-2.56992 3.05562 0.161588 -0.0427192 -0.202734
-2.56992 3.05562 -0.178872 0.0552588 -0.150587
-2.56992 3.05562 -0.0318553 0.129521 -0.093479
-2.56992 3.05562 -0.105647 -0.0676626 0.199815
-1.96507 -2.88102 -0.15388 0.115921 -0.158442
-1.96507 -2.88102 -0.00235471 0.14102 -0.272559
-1.96507 -2.88102 0.139186 0.0352456 -0.272443
-1.96507 -2.88102 -0.013386 -0.139069 -0.0837596
-1.96507 -2.88102 -0.125751 -0.0233253 0.093378
-1.96507 -2.88102 0.129628 -0.120136 -0.244683
-1.96507 0.611125 0.013908 0.134705 0.170676
-1.96507 0.611125 0.14942 -0.109321 0.0716937
-1.96507 0.611125 0.161631 0.0186208 0.0422746
-1.96507 0.611125 -0.113836 -0.0797499 0.0803878
-1.96507 0.611125 -0.129948 0.0851838 0.000311058
-1.96507 0.611125 0.0174087 -0.155305 -0.0210139
-1.66264 1.83337 0.0627233 -0.149929 -0.0439025
-1.66264 1.83337 0.137708 0.0645641 -0.0196519
-1.66264 1.83337 0.173706 -0.0703625 -0.0226801
-1.66264 1.83337 -0.0799832 -0.131061 0.162494
-1.66264 1.83337 -0.0719793 0.143056 0.0719118
-1.66264 1.83337 0.0622662 0.175752 0.0067891
-1.66264 1.83337 -0.129653 0.00580593 0.363652
-1.05778 -0.261911 0.187181 0.0376121 0.158875
-1.05778 -0.261911 0.0779885 0.114952 0.201115
-1.05778 -0.261911 -0.0111616 0.213377 0.189234
-1.05778 -0.261911 0.128336 -0.0907368 -0.0085486
-1.05778 -0.261911 -0.120029 -0.113091 0.057215
-1.05778 -0.261911 -0.124262 0.0374957 0.164076
-1.05778 -0.261911 0.0075016 -0.166378 0.0179051
-0.452924 2.18259 -0.0823342 -0.151399 -0.179737
-0.452924 2.18259 0.120025 0.13271 -0.158934
-0.452924 2.18259 0.137668 -0.00778483 0.0708543
-0.452924 2.18259 0.0593991 -0.133947 -0.0507849
-0.452924 2.18259 -0.0526107 0.127217 -0.0715239
-0.452924 2.18259 -0.142007 -0.0115291 -0.141977
-0.150495 1.30955 0.0292524 -0.158801 -0.0113257
-0.150495 1.30955 0.131491 -0.0759161 -0.0978181
-0.150495 1.30955 -0.147195 0.0933421 -0.251107
-0.150495 1.30955 0.137251 0.0700875 -0.0119825
-0.150495 1.30955 -0.120891 -0.0597953 -0.155681
-0.150495 1.30955 0.00222114 0.136388 0.0197831
0.151933 -0.611125 -0.128804 0.0239366 0.0943503
0.151933 -0.611125 -0.0660832 0.166366 -0.194121
0.151933 -0.611125 0.128604 -0.0706591 -0.0608602
0.151933 -0.611125 -0.125251 -0.116919 -0.0474837
0.151933 -0.611125 0.0746626 0.112785 -0.00965935
0.151933 -0.611125 0.0151344 -0.16183 -0.138357
0.151933 1.13495 0.142604 -0.0714532 -0.114011
0.151933 1.13495 0.0352536 -0.162406 -0.0735129
0.151933 1.13495 0.00576004 0.146004 0.0890061
0.151933 1.13495 -0.102238 -0.0828851 0.0989486
0.151933 1.13495 0.141588 0.0807922 -0.130779
0.151933 1.13495 -0.131491 0.0759161 0.0978181
0.151933 2.18259 -0.0233459 -0.142177 -0.14939
0.151933 2.18259 0.131491 -0.0759161 -0.281059
0.151933 2.18259 -0.142956 0.13271 -0.0882194
0.151933 2.18259 0.131491 0.0759161 -0.217208
0.151933 2.18259 -0.125313 -0.00778483 0.167264
0.151933 2.18259 0.00444098 0.152005 -0.166478
0.454361 -0.0873035 0.150265 0.0602308 -0.0632118
0.454361 -0.0873035 -0.056828 -0.114963 0.160699
0.454361 -0.0873035 -0.124892 0.0638901 -0.0238737
0.454361 -0.0873035 0.0704208 -0.175279 0.0364626
0.454361 -0.0873035 0.0209184 0.142534 0.0119674
0.454361 -0.0873035 0.161487 -0.075539 -0.049125
0.454361 2.00798 0.106106 -0.110415 0.215388
0.454361 2.00798 0.151444 0.0374646 -0.108503
0.454361 2.00798 -0.0257877 -0.143014 0.27501
0.454361 2.00798 -7.24058e-17 0.151832 0.0638518
0.454361 2.00798 -0.154836 -0.066261 0.125577
0.454361 2.00798 -0.131491 0.0759161 0.281059
0.454361 2.3572 0.151444 -0.114368 -0.140282
0.454361 2.3572 0.147559 0.0240577 -0.0428465
0.454361 2.3572 7.24058e-17 -0.151832 -0.0638518
0.454361 2.3572 0.0298031 0.133141 0.162916
0.454361 2.3572 -0.131491 -0.0759161 0.217208
0.454361 2.3572 -0.12705 0.0760887 0.0517439
1.9665 2.88102 -0.116601 -0.0649951 0.0875202
1.9665 2.88102 0.15151 -0.0880382 -0.0226383
1.9665 2.88102 0.0384513 -0.162491 -0.0356605
1.9665 2.88102 0.0363365 0.133395 0.0942099
1.9665 2.88102 -0.114563 0.0907729 0.0602911
1.9665 2.88102 0.16128 0.0493238 -0.0288558
2.26893 -0.785732 -0.089861 0.0994253 0.197832
2.26893 -0.785732 -0.0811608 -0.107178 0.199271
2.26893 -0.785732 -0.188156 -0.00659003 0.0297926
2.26893 -0.785732 0.161447 0.092762 0.00894583
2.26893 -0.785732 0.0737906 -0.134624 0.0691772
2.26893 -0.785732 0.174993 -0.0372509 0.0170922
2.26893 -0.785732 0.0449309 0.159642 0.000676011
2.57136 -3.05562 -0.162213 -0.0700213 0.0495855
2.57136 -3.05562 -0.113355 0.0781473 0.0909153
2.57136 -3.05562 0.0373422 0.13641 -0.107605
2.57136 -3.05562 0.142015 -0.0450918 -0.196731
2.57136 -3.05562 -0.0345984 -0.132019 0.123926
2.57136 -3.05562 0.182369 0.0999405 -0.11755
2.57136 -2.3572 -0.0466403 0.120363 0.0284956
2.57136 -2.3572 -0.20023 0.0268533 -0.214634
2.57136 -2.3572 -0.0993875 -0.0812518 -0.0175278
2.57136 -2.3572 0.0373422 -0.167255 -0.183462
2.57136 -2.3572 0.136318 -0.0651541 -0.141465
2.57136 -2.3572 0.111959 0.101283 -0.224714
2.57136 0.436518 -0.119839 -0.0710053 -0.0378187
2.57136 0.436518 -0.0981577 0.0906123 0.0716072
2.57136 0.436518 0.0442035 -0.133929 -0.127346
2.57136 0.436518 0.0489353 0.142802 -0.22495
2.57136 0.436518 0.150886 -0.0194978 -0.300885
2.87379 2.00798 0.0293438 -0.136163 -0.0487289
2.87379 2.00798 -0.136022 -0.0759857 0.0465644
2.87379 2.00798 0.0442124 0.136309 -0.0451712
2.87379 2.00798 0.163146 -0.0892481 -0.0677257
2.87379 2.00798 -0.11819 0.0661236 0.162023
2.87379 2.00798 0.158484 0.0516533 -0.139604
3.17622 -3.40484 -0.168992 -0.0256343 0.183141
3.17622 -3.40484 0.0167906 0.155052 0.139585
3.17622 -3.40484 -0.0660419 -0.117898 0.352108
3.17622 -3.40484 -0.120966 0.10674 0.0276618
3.17622 -3.40484 0.145567 -0.0271383 -0.0372274
3.17622 -3.40484 0.14159 0.119584 0.187546
3.17622 -3.40484 0.0635177 -0.164367 0.0650206
3.17622 -2.00798 -0.106334 0.0953243 0.0690356
3.17622 -2.00798 -0.151023 -0.0505492 -0.0445904
3.17622 -2.00798 -0.0166532 -0.132423 0.168988
3.17622 -2.00798 0.131491 0.0759161 -0.168207
3.17622 -2.00798 0.030757 0.161393 0.0564008
3.17622 -2.00798 0.125456 -0.104854 -0.179331
3.17622 2.88102 -0.0968057 -0.102234 0.0989501
3.17622 2.88102 -0.119919 0.0577948 0.31781
3.17622 2.88102 0.0431171 -0.160123 -0.154849
3.17622 2.88102 0.0635177 0.139298 0.0192316
3.17622 2.88102 0.151663 0.00288317 -0.135789
3.17622 2.88102 -0.0660419 0.185766 0.198163
3.47864 -1.83337 -0.100734 0.0854772 0.263456
3.47864 -1.83337 -0.00603462 -0.18077 -0.0209102
3.47864 -1.83337 -0.131491 -0.0759161 0.168207
3.47864 -1.83337 0.165568 0.0156956 -0.0610439
3.47864 -1.83337 0.0521634 0.136376 -0.071141
3.47864 -1.83337 0.106772 -0.108152 -0.00576624
3.78107 0.436518 -0.125083 -0.0483097 -0.00544372
3.78107 0.436518 0.0135498 -0.148137 0.0239939
3.78107 0.436518 0.12323 0.090196 -0.456447
3.78107 0.436518 0.131491 -0.0759161 -0.217228
3.78107 0.436518 -0.0453881 0.120599 -0.143593
-2.74885 1.87213 0.115753 0.0860074 0.20666
-2.74885 1.87213 0.131358 -0.098597 0.196832
-2.74885 1.87213 -0.133437 0.103537 0.117143
-2.74885 1.87213 0.0108987 -0.155639 0.201524
-2.74885 1.87213 -0.139685 -0.0381048 0.182186
-2.74885 1.87213 -0.00284641 0.163691 0.125975
-2.7554 2.24862 0.14623 0.0690042 -0.0197683
-2.7554 2.24862 0.00284641 -0.163691 -0.125975
-2.7554 2.24862 0.1186 -0.0776838 0.064736
-2.7554 2.24862 -0.129314 0.0879573 -0.00709428
-2.7554 2.24862 0.0103693 0.145606 0.0135108
-2.7554 2.24862 -0.13059 -0.0601544 -0.00583789
-2.73155 2.58351 0.134963 0.0666583 -0.0518438
-2.73155 2.58351 -0.0103693 -0.145606 -0.0135108
-2.73155 2.58351 0.13586 -0.0766018 -0.0331392
-2.73155 2.58351 -0.15749 0.0871167 0.107123
-2.73155 2.58351 -0.0353743 0.137604 0.247544
-2.73155 2.58351 -0.139683 -0.0576486 -0.0203937
-2.81291 2.9 0.105647 0.0676626 -0.199815
-2.81291 2.9 0.0353743 -0.137604 -0.247544
-2.81291 2.9 -0.122116 -0.0504877 -0.120256
-2.81291 2.9 0.170338 -0.0709462 -0.232898
-2.81291 2.9 -0.0732246 0.122921 -0.372243
-2.96615 -3.46814 0.130551 0.0622857 0.150818
-2.96615 -3.46814 -0.0907098 0.10344 0.0240548
-2.96615 -3.46814 0.0407808 0.179356 -0.158507
-2.96615 -3.46814 -0.00660011 -0.144966 -0.0321126
-2.96615 -3.46814 0.140416 -0.0707039 0.0703728
-2.96615 -3.46814 -0.138216 -0.077873 -0.039194
-3.1067 -1.41701 -0.0220405 0.13327 0.164775
-3.1067 -1.41701 0.168057 -0.036636 -0.159952
-3.1067 -1.41701 0.116861 0.0979348 0.117428
-3.1067 -1.41701 -0.208699 -0.0778346 0.0480802
-3.1067 -1.41701 -0.161092 0.0467209 0.0545386
-3.1067 -1.41701 -0.00363522 -0.120689 0.106864
-3.13647 -2.84495 0.0889981 0.107022 0.230615
-3.13647 -2.84495 -0.032055 0.172411 0.044493
-3.13647 -2.84495 -0.0166575 -0.167512 0.326009
-3.13647 -2.84495 -0.148148 0.0602366 0.200546
-3.13647 -2.84495 0.114833 -0.0915956 0.152601
-3.13647 -2.84495 -0.135207 -0.0744075 0.295098
-2.66349 -2.74804 -0.116646 0.0648873 -0.0521512
-2.66349 -2.74804 0.149782 0.0581067 0.00809003
-2.66349 -2.74804 0.031934 0.14756 -0.00916848
-2.66349 -2.74804 0.17791 -0.0811395 0.223829
-2.66349 -2.74804 0.0593718 -0.125476 0.308811
-2.66349 -2.74804 -0.0908106 -0.13373 -0.102972
-2.59004 -2.40866 0.142199 0.050935 0.0086419
-2.59004 -2.40866 -0.125348 0.0661937 -0.0486288
-2.59004 -2.40866 0.00706457 0.149101 -0.121355
-2.59004 -2.40866 -0.031934 -0.14756 0.00916848
-2.59004 -2.40866 0.117848 -0.0894537 0.0181406
-2.59004 -2.40866 -0.14858 -0.0826731 -0.0327989
-2.47772 -1.72293 -0.105409 0.0963711 -0.12735
-2.47772 -1.72293 0.147777 0.0290701 0.17631
-2.47772 -1.72293 0.0717134 0.140057 0.0153128
-2.47772 -1.72293 -0.0417673 -0.149042 -0.0652975
-2.47772 -1.72293 0.106872 -0.111129 0.0604561
-2.47772 -1.72293 -0.144382 -0.0459468 -0.0237835
-2.31278 -1.4008 0.0440538 0.151981 0.0296091
-2.31278 -1.4008 -0.0929205 0.0979257 0.118074
-2.31278 -1.4008 0.15444 0.0614131 -0.0717096
-2.31278 -1.4008 -0.0717134 -0.140057 -0.0153128
-2.31278 -1.4008 0.0760635 -0.110987 0.179445
-2.31278 -1.4008 -0.177122 -0.0436864 -0.112909
-2.81824 -0.865582 -0.0177524 0.134247 0.0324582
-2.81824 -0.865582 0.139477 0.0151325 -0.0298714
-2.81824 -0.865582 -0.147458 -0.106482 0.122309
-2.81824 -0.865582 0.126841 -0.134776 0.0487005
-2.81824 -0.865582 -0.155018 0.0347173 0.164736
-2.81824 -0.865582 -0.00855654 -0.141817 0.125939
-3.5867 -1.59603 0.047607 0.124555 -0.0117115
-3.5867 -1.59603 0.205064 -0.0428541 0.0104716
-3.5867 -1.59603 -0.0725633 0.183538 0.140233
-3.5867 -1.59603 0.208699 0.0778346 -0.0480802
