# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.77964 -3.23023 0.127184 0.0789181 -0.0303861
-3.77964 -3.23023 0 0.139686 0.0366036
-3.77964 -3.23023 -0.120641 0.0516273 0.119238
-3.77964 -3.23023 0.137898 -0.0585289 0.151249
-3.77964 -3.23023 -0.0956232 -0.0868768 0.0799616
-3.77964 -3.23023 0.055135 -0.141427 0.119572
-3.77964 -2.88102 0.120971 0.0698428 -0.0966895
-3.77964 -2.88102 -0.108884 0.0560913 0.10674
-3.77964 -2.88102 0.0143326 0.149703 -0.0596626
-3.77964 -2.88102 0.127184 -0.0607675 -0.0685405
-3.77964 -2.88102 0 -0.139686 -0.0366036
-3.77964 -2.88102 -0.120641 -0.0880584 0.0705258
-3.77964 0.261911 0.0413941 0.117414 -0.0795304
-3.77964 0.261911 -0.083447 -0.0866375 0.102167
-3.77964 0.261911 0.0621231 -0.111198 -0.121418
-3.77964 0.261911 0.155665 0.0468628 -0.146989
-3.77964 0.261911 -0.120971 0.0698428 -0.0384881
-3.47721 -2.70641 0.129219 0.0620774 -0.0385403
-3.47721 -2.70641 -0.106639 0.0798598 0.0340295
-3.47721 -2.70641 0.00981939 0.143864 -0.0258619
-3.47721 -2.70641 0.00621281 -0.13061 0.0294052
-3.47721 -2.70641 0.134713 -0.065279 -0.0461171
-3.47721 -2.70641 -0.120971 -0.0698428 0.0966895
-3.47721 -1.30955 0.19526 0.0201158 -0.000974261
-3.47721 -1.30955 -0.0327649 0.139158 -0.0201683
-3.47721 -1.30955 0.0959222 0.0860587 -0.0337649
-3.47721 -1.30955 -0.0629163 -0.160901 -0.161662
-3.47721 -1.30955 -0.114088 -0.00277085 0.213781
-3.47721 -1.30955 0.0540323 -0.116427 -0.174517
-3.17478 -3.23023 0.120971 0.0698428 -0.109687
-3.17478 -3.23023 -0.114759 0.0789181 -0.0595897
-3.17478 -3.23023 0.0137421 0.14425 -0.131453
-3.17478 -3.23023 0.00596091 -0.149591 -0.111239
-3.17478 -3.23023 0.121741 -0.0745566 -0.164626
-3.17478 -3.23023 -0.104044 -0.0585289 0.158378
-3.17478 -0.785732 0 0.139686 0.00762375
-3.17478 -0.785732 0.136642 -0.0796365 -0.136233
-3.17478 -0.785732 0.127899 0.0527091 -0.171546
-3.17478 -0.785732 -0.153736 -0.07037 0.0596659
-3.17478 -0.785732 -0.113322 0.0512027 0.230093
-3.17478 -0.785732 -0.0250491 -0.12347 0.0684222
-3.17478 -0.436518 0.0699932 0.135395 -0.0126314
-3.17478 -0.436518 0.127899 -0.0869765 -0.160312
-3.17478 -0.436518 0.149659 0.0381791 -0.064398
-3.17478 -0.436518 -0.113322 -0.0884829 0.191604
-3.17478 -0.436518 -0.0720518 0.0923412 0.335402
-3.17478 -0.436518 0 -0.139686 -0.00762375
-3.17478 -0.436518 -0.180402 0.0160185 0.180269
-3.17478 0.960339 0.15524 -0.0959909 -0.0913462
-3.17478 0.960339 0.132293 0.0424014 0.0229512
-3.17478 0.960339 -0.0704192 -0.102453 -0.0119623
-3.17478 0.960339 0.0410953 0.134042 0.0465212
-3.17478 0.960339 -0.102565 0.0624725 0.194834
-3.17478 0.960339 0.0496948 -0.153884 -0.142933
-2.87235 -3.05562 -0.107229 0.0744067 -0.02855
-2.87235 -3.05562 0.121834 0.0533427 0.146663
-2.87235 -3.05562 0.0285531 0.143154 -0.0204275
-2.87235 -3.05562 0.0007692 -0.144399 -0.056646
-2.87235 -3.05562 0.120866 -0.084497 0.0158893
-2.87235 -3.05562 -0.120971 -0.0698428 0.109687
-2.56992 0.960339 0.105809 0.077408 -0.102702
-2.56992 0.960339 0.054462 -0.144158 -0.0715404
-2.56992 0.960339 0.140036 -0.0522767 -0.0286698
-2.56992 0.960339 -0.0867024 -0.0959909 -0.0234229
-2.56992 0.960339 -0.10965 0.0424014 0.143168
-2.56992 0.960339 -0.057491 0.165265 -0.0390152
-2.56992 3.05562 0.133575 0.0370193 -0.19385
-2.56992 3.05562 0.154246 -0.0960482 -0.113582
-2.56992 3.05562 -0.111169 0.0689932 -0.0605743
-2.56992 3.05562 0.0163471 0.134053 -0.113642
-2.56992 3.05562 0.0231735 -0.126069 0.0914337
-2.56992 3.05562 -0.103251 -0.0897646 0.033398
-1.96507 -2.88102 0.115297 0.0753353 -0.174391
-1.96507 -2.88102 -0.117989 0.00675452 0.302568
-1.96507 -2.88102 -0.044375 0.13079 -0.0409853
-1.96507 -2.88102 0.016968 -0.145953 -0.104052
-1.96507 -2.88102 0.125289 -0.06611 -0.122956
-1.96507 -2.88102 -0.114065 -0.12349 0.0512666
-1.96507 0.611125 0.0883506 -0.10126 -0.119662
-1.96507 0.611125 0.0148453 0.148167 0.0352929
