# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77964 -3.23023 0.127184 0.0789181 0.0760062
-3.77964 -3.23023 0 0.139686 0.462428
-3.77964 -3.23023 -0.120641 0.0516273 0.957838
-3.77964 -3.23023 0.137898 -0.0585289 0.0533605
-3.77964 -3.23023 -0.0956232 -0.0868768 0.870899
-3.77964 -3.23023 0.055135 -0.141427 0.295863
-3.77964 -2.88102 0.120971 0.0698428 0.289168
-3.77964 -2.88102 -0.108884 0.0560913 0.856101
-3.77964 -2.88102 0.0143326 0.149703 0.486351
-3.77964 -2.88102 0.127184 -0.0607675 0.23744
-3.77964 -2.88102 0 -0.139686 0.377087
-3.77964 -2.88102 -0.120641 -0.0880584 0.666045
-3.77964 0.261911 0.0413941 0.117414 0.192714
-3.77964 0.261911 -0.083447 -0.0866375 1.06801
-3.77964 0.261911 0.0621231 -0.111198 0.55617
-3.77964 0.261911 0.155665 0.0468628 -0.0235803
-3.77964 0.261911 -0.120971 0.0698428 0.595709
-3.47721 -2.70641 0.129219 0.0620774 0.216487
-3.47721 -2.70641 -0.106639 0.0798598 0.642798
-3.47721 -2.70641 0.00981939 0.143864 0.390551
-3.47721 -2.70641 0.00621281 -0.13061 0.636129
-3.47721 -2.70641 0.134713 -0.065279 0.326972
-3.47721 -2.70641 -0.120971 -0.0698428 0.737903
-3.47721 -1.30955 0.19526 0.0201158 -0.0933205
-3.47721 -1.30955 -0.0327649 0.139158 0.842739
-3.47721 -1.30955 0.0959222 0.0860587 0.226573
-3.47721 -1.30955 -0.0629163 -0.160901 0.441403
-3.47721 -1.30955 -0.114088 -0.00277085 1.18694
-3.47721 -1.30955 0.0540323 -0.116427 -0.0213794
-3.17478 -3.23023 0.120971 0.0698428 0.0321279
-3.17478 -3.23023 -0.114759 0.0789181 0.833297
-3.17478 -3.23023 0.0137421 0.14425 0.283696
-3.17478 -3.23023 0.00596091 -0.149591 0.549034
-3.17478 -3.23023 0.121741 -0.0745566 0.0781712
-3.17478 -3.23023 -0.104044 -0.0585289 1.1285
-3.17478 -0.785732 0 0.139686 0.542233
-3.17478 -0.785732 0.136642 -0.0796365 -0.0601972
-3.17478 -0.785732 0.127899 0.0527091 -0.0516225
-3.17478 -0.785732 -0.153736 -0.07037 0.998995
-3.17478 -0.785732 -0.113322 0.0512027 1.08379
-3.17478 -0.785732 -0.0250491 -0.12347 0.584081
-3.17478 -0.436518 0.0699932 0.135395 0.456654
-3.17478 -0.436518 0.127899 -0.0869765 -0.248914
-3.17478 -0.436518 0.149659 0.0381791 -0.14668
-3.17478 -0.436518 -0.113322 -0.0884829 0.766877
-3.17478 -0.436518 -0.0720518 0.0923412 1.28229
-3.17478 -0.436518 0 -0.139686 0.203698
-3.17478 -0.436518 -0.180402 0.0160185 1.17682
-3.17478 0.960339 0.15524 -0.0959909 -0.374814
-3.17478 0.960339 0.132293 0.0424014 -0.0401326
-3.17478 0.960339 -0.0704192 -0.102453 0.634197
-3.17478 0.960339 0.0410953 0.134042 0.656476
-3.17478 0.960339 -0.102565 0.0624725 1.29489
-3.17478 0.960339 0.0496948 -0.153884 -0.12845
-2.87235 -3.05562 -0.107229 0.0744067 0.601032
-2.87235 -3.05562 0.121834 0.0533427 0.627895
-2.87235 -3.05562 0.0285531 0.143154 0.644626
-2.87235 -3.05562 0.0007692 -0.144399 0.300263
-2.87235 -3.05562 0.120866 -0.084497 0.401971
-2.87235 -3.05562 -0.120971 -0.0698428 0.430168
-2.56992 0.960339 0.105809 0.077408 0.0269501
-2.56992 0.960339 0.054462 -0.144158 0.277344
-2.56992 0.960339 0.140036 -0.0522767 0.0270008
-2.56992 0.960339 -0.0867024 -0.0959909 0.953644
-2.56992 0.960339 -0.10965 0.0424014 1.1093
-2.56992 0.960339 -0.057491 0.165265 0.516703
-2.56992 3.05562 0.133575 0.0370193 0.087743
-2.56992 3.05562 0.154246 -0.0960482 0.237892
-2.56992 3.05562 -0.111169 0.0689932 0.695329
-2.56992 3.05562 0.0163471 0.134053 0.355869
-2.56992 3.05562 0.0231735 -0.126069 0.624547
-2.56992 3.05562 -0.103251 -0.0897646 0.840229
-1.96507 -2.88102 0.115297 0.0753353 0.0854713
-1.96507 -2.88102 -0.117989 0.00675452 1.21516
-1.96507 -2.88102 -0.044375 0.13079 0.791521
-1.96507 -2.88102 0.016968 -0.145953 0.1802
-1.96507 -2.88102 0.125289 -0.06611 -0.0531492
-1.96507 -2.88102 -0.114065 -0.12349 0.734101
-1.96507 0.611125 0.0883506 -0.10126 0.333362
-1.96507 0.611125 0.0148453 0.148167 0.359045
-1.96507 0.611125 0.120378 0.0673315 0.162122
-1.96507 0.611125 -0.0805724 -0.0905335 0.850166
-1.96507 0.611125 -0.101907 0.087409 0.642015
-1.66264 1.83337 0.080268 -0.144435 -0.25761
-1.66264 1.83337 0.167446 0.0427409 -0.289875
-1.66264 1.83337 0.063757 0.112958 0.405028
-1.66264 1.83337 -0.121275 0.00284375 1.39997
-1.66264 1.83337 0.17396 -0.0751219 -0.531822
-1.66264 1.83337 -0.040917 -0.125914 0.551861
-1.66264 1.83337 -0.0612192 0.139586 1.08168
-1.05778 -0.261911 -0.0306113 0.121084 0.496505
-1.05778 -0.261911 0.139512 0.018492 -0.0144769
-1.05778 -0.261911 0.101955 0.13733 0.122523
-1.05778 -0.261911 -0.0225001 -0.113804 0.868555
-1.05778 -0.261911 0.116004 -0.120571 0.340853
-1.05778 -0.261911 -0.131306 0.0137646 0.786187
-0.452924 2.18259 0.136813 0.0411642 0.309782
-0.452924 2.18259 -0.0997829 0.064419 0.922337
-0.452924 2.18259 0.0976803 -0.093127 0.127171
-0.452924 2.18259 -0.0680344 -0.106909 0.396134
-0.452924 2.18259 0.042307 0.132959 0.628903
-0.150495 1.30955 -0.00464013 -0.126888 0.789311
-0.150495 1.30955 0.120971 -0.0698428 0.546277
-0.150495 1.30955 0.00989846 0.131381 0.280289
-0.150495 1.30955 -0.120441 0.135118 0.359017
-0.150495 1.30955 0.129843 0.0707724 0.314345
-0.150495 1.30955 -0.123339 -0.00569863 0.576307
0.151933 -0.611125 0.0126436 0.171036 0.11431
0.151933 -0.611125 -0.0928053 0.113977 0.41142
